id,capability,display_name,category,teaching_order,type,mastery_count,teaching_materials,notes
144,expression_espressivo,Espressivo,Expression Terms,144,T,1,,"Expressively"
145,expression_con_brio,Con brio,Expression Terms,145,T,1,,"With vigor"
146,expression_con_fuoco,Con fuoco,Expression Terms,146,T,1,,"With fire"
147,expression_con_moto,Con moto,Expression Terms,147,T,1,,"With motion"
148,expression_grazioso,Grazioso,Expression Terms,148,T,1,,"Gracefully"
149,expression_leggiero,Leggiero,Expression Terms,149,T,1,,"Lightly"
150,expression_maestoso,Maestoso,Expression Terms,150,T,1,,"Majestically"
151,expression_pesante,Pesante,Expression Terms,151,T,1,,"Heavily"
152,expression_sostenuto,Sostenuto,Expression Terms,152,T,1,,"Sustained"
153,expression_tranquillo,Tranquillo,Expression Terms,153,T,1,,"Tranquilly"
154,expression_agitato,Agitato,Expression Terms,154,T,1,,"Agitated"
155,expression_animato,Animato,Expression Terms,155,T,1,,"Animated"
156,expression_appassionato,Appassionato,Expression Terms,156,T,1,,"Passionately"
157,expression_brillante,Brillante,Expression Terms,157,T,1,,"Brilliantly"
158,expression_morendo,Morendo,Expression Terms,158,T,1,,"Dying away"
159,expression_perdendosi,Perdendosi,Expression Terms,159,T,1,,"Dying away completely"
160,notation_fermata,Fermata,Other Notation,160,T,1,,"Hold longer"
161,notation_breath_mark,Breath Mark,Other Notation,161,T,1,,"Take a breath"
162,notation_chord_symbols,Chord Symbols,Other Notation,162,P,1,,"Jazz reading"
163,notation_figured_bass,Figured Bass,Other Notation,163,P,1,,"Baroque"
164,notation_2_voices,Two Voices,Other Notation,164,P,1,,""
165,notation_3_voices,Three Voices,Other Notation,165,P,1,,""
166,notation_4_voices,Four Voices,Other Notation,166,P,1,,""
167,ornament_tremolo,Tremolo,Ornaments,167,P,1,,""
168,ornament_glissando,Glissando,Ornaments,168,P,1,,""
169,interval_harmonic_m2,Harmonic Minor 2nd,Harmonic Intervals,200,P,1,,"Piano/guitar - not brass"
170,interval_harmonic_M2,Harmonic Major 2nd,Harmonic Intervals,201,P,1,,""
171,interval_harmonic_m3,Harmonic Minor 3rd,Harmonic Intervals,202,P,1,,""
172,interval_harmonic_M3,Harmonic Major 3rd,Harmonic Intervals,203,P,1,,""
173,interval_harmonic_P4,Harmonic Perfect 4th,Harmonic Intervals,204,P,1,,""
174,interval_harmonic_P5,Harmonic Perfect 5th,Harmonic Intervals,205,P,1,,""
175,interval_harmonic_m6,Harmonic Minor 6th,Harmonic Intervals,206,P,1,,""
176,interval_harmonic_M6,Harmonic Major 6th,Harmonic Intervals,207,P,1,,""
177,interval_harmonic_P8,Harmonic Octave,Harmonic Intervals,208,P,1,,""
